size_sqmeters,decorated,no_rooms,price,type_of_building,market,district,floor_no,line_distance,price_per_sqmet
49,Nie,2,439 000,BLOK,wtórny,Ursynów,10,9.9321984919,8959.1836735
77,Tak,3,759 000,BLOK,wtórny,Bemowo,4,5.8164862357,9857.1428571
98,Tak,4,639 000,BLOK,wtórny,Białołęka,3,12.032843213,6520.4081633
51,Tak,3,899 000,KAMIENICA,wtórny,Śródmieście,3,0.8059968347,17627.45098
41,Unknown,2,429 000,BLOK,wtórny,Wola,0,2.4579302196,10463.414634
125,Tak,4,1 280 000,KAMIENICA,wtórny,Mokotów,3,3.3099132011,10240
29,Unknown,1,295 000,KAMIENICA,wtórny,Praga_Południe,2,4.0712705646,10172.413793
66,Tak,3,490 000,BLOK,wtórny,Białołęka,1,10.822584302,7424.2424242
115,Nie,4,950 000,BLOK,wtórny,Żoliborz,1,4.1085390464,8260.8695652
87,Tak,3,715 000,APARTAMENTOWIEC,wtórny,Ursus,1,8.0220716732,8218.3908046
49,Tak,2,499 000,APARTAMENTOWIEC,wtórny,Wilanów,0,11.223826273,10183.673469
30,Nie,2,255 000,KAMIENICA,wtórny,Praga_Północ,2,4.8990587883,8500
51,Tak,2,450 000,BLOK,wtórny,Praga_Południe,2,5.44815452,8823.5294118
40,Tak,2,430 000,BLOK,wtórny,Śródmieście,5,1.2657864506,10750
34,Unknown,2,349 000,BLOK,wtórny,Targówek,5,6.9630581656,10264.705882
86,Unknown,4,699 999,BLOK,wtórny,Bielany,8,8.5189298798,8139.5232558
55,Unknown,3,480 000,BLOK,wtórny,Targówek,9,6.9630581656,8727.2727273
33,Unknown,2,455 600,OTHER,wtórny,Śródmieście,7,1.4478065496,13806.060606
60,Tak,3,510 000,BLOK,wtórny,Targówek,2,7.9307890525,8500
189,Tak,5,2 350 000,APARTAMENTOWIEC,wtórny,Śródmieście,3,0.5043869859,12433.862434
47,Tak,3,545 000,KAMIENICA,wtórny,Praga_Południe,2,3.614923866,11595.744681
47,Tak,2,385 000,BLOK,wtórny,Praga_Południe,1,6.8182858329,8191.4893617
42,Tak,1,420 000,BLOK,wtórny,Ochota,0,1.7893336181,10000
31,Nie,2,246 000,BLOK,pierwotny,Białołęka,3,13.229381562,7935.483871
78,Nie,4,866 690,KAMIENICA,pierwotny,Wilanów,0,11.223826273,11111.410256
150,Tak,5,1 799 000,APARTAMENTOWIEC,wtórny,Wilanów,3,8.6815653187,11993.333333
67,Unknown,3,596 300,BLOK,wtórny,Bemowo,3,7.1410247483,8900
137,Nie,5,769 000,BLOK,wtórny,Białołęka,5,10.366207442,5613.1386861
67,Tak,2,1 869 300,KAMIENICA,wtórny,Śródmieście,7,0.479746256,27900
68,Unknown,2,961 800,OTHER,wtórny,Śródmieście,7,0.5195419795,14144.117647
68,Tak,3,940 000,APARTAMENTOWIEC,wtórny,Wilanów,1,9.167397815,13823.529412
53,Tak,3,1 060 000,APARTAMENTOWIEC,wtórny,Wola,6,0.9470906163,20000
48,Nie,3,450 000,BLOK,wtórny,Ochota,1,3.9503183781,9375
96,Tak,4,998 500,APARTAMENTOWIEC,wtórny,Wola,6,3.120780926,10401.041667
47,Unknown,3,459 500,BLOK,wtórny,Żoliborz,4,4.0012206278,9776.5957447
93,Tak,3,930 000,APARTAMENTOWIEC,wtórny,Wilanów,0,9.2756983001,10000
44,Tak,2,760 000,BLOK,wtórny,Wola,2,1.9398269489,17272.727273
27,Nie,1,327 000,BLOK,wtórny,Wola,1,1.9952625932,12111.111111
22,Tak,1,349 000,KAMIENICA,wtórny,Ochota,4,3.0156892773,15863.636364
48,Nie,2,407 000,BLOK,wtórny,Mokotów,10,4.4816988271,8479.1666667
93,Unknown,3,875 000,APARTAMENTOWIEC,wtórny,Mokotów,7,5.9780181673,9408.6021505
74,Tak,4,650 000,BLOK,wtórny,Bielany,4,9.396642753,8783.7837838
88,Tak,4,970 000,BLOK,wtórny,Praga_Północ,3,3.0778545273,11022.727273
71,Tak,3,589 000,BLOK,wtórny,Bemowo,3,6.8030300909,8295.7746479
90,Nie,3,2 784 900,APARTAMENTOWIEC,pierwotny,Śródmieście,3,1.9872427275,30943.333333
64,Tak,3,572 800,BLOK,wtórny,Praga_Południe,3,6.572237526,8950
60,Tak,3,679 000,BLOK,wtórny,Ursus,2,10.082479969,11316.666667
37,Tak,2,399 000,BLOK,wtórny,Bielany,1,6.2592138971,10783.783784
30,Tak,2,280 000,BLOK,wtórny,Targówek,9,7.136236695,9333.3333333
49,Tak,2,500 000,BLOK,wtórny,Ursus,0,9.2089959061,10204.081633
63,Nie,3,438 000,BLOK,wtórny,Białołęka,6,10.504246062,6952.3809524
53,Tak,5,569 000,KAMIENICA,wtórny,Praga_Południe,4,5.2152553875,10735.849057
59,Unknown,2,850 000,KAMIENICA,wtórny,Śródmieście,0,1.5226820123,14406.779661
36,Unknown,2,399 000,KAMIENICA,wtórny,Praga_Południe,0,3.6800395143,11083.333333
24,Tak,1,338 000,BLOK,wtórny,Śródmieście,4,4.1201812305,14083.333333
114,Unknown,4,987 000,BLOK,wtórny,Wilanów,0,9.9818601973,8657.8947368
59,Nie,3,368 000,OTHER,wtórny,Białołęka,0,12.773921289,6237.2881356
26,Unknown,1,335 000,BLOK,wtórny,Wola,4,4.0787775993,12884.615385
129,Tak,4,2 800 000,APARTAMENTOWIEC,wtórny,Śródmieście,3,1.7493790905,21705.426357
34,Tak,2,360 000,BLOK,wtórny,Ochota,3,3.4836537854,10588.235294
100,Tak,4,690 000,OTHER,wtórny,Rembertów,0,10.698086021,6900
46,Tak,2,448 500,BLOK,wtórny,Mokotów,4,4.4241878552,9750
32,Tak,1,390 000,BLOK,wtórny,Wola,0,4.3029002221,12187.5
65,Tak,2,599 000,APARTAMENTOWIEC,wtórny,Mokotów,4,6.1864435268,9215.3846154
66,Tak,3,555 000,BLOK,wtórny,Ursus,6,8.3139383434,8409.0909091
59,Nie,3,647 324,APARTAMENTOWIEC,wtórny,Mokotów,3,6.2640465006,10971.59322
58,Tak,3,470 000,BLOK,wtórny,Praga_Południe,7,6.1451629588,8103.4482759
63,Tak,4,585 000,BLOK,wtórny,Białołęka,1,10.522986084,9285.7142857
41,Unknown,2,410 000,BLOK,wtórny,Praga_Południe,3,4.2673415683,10000
68,Unknown,3,460 000,BLOK,wtórny,Praga_Południe,1,5.558911713,6764.7058824
48,Unknown,2,480 000,BLOK,wtórny,Wola,1,3.2090392067,10000
48,Tak,2,530 000,BLOK,wtórny,Mokotów,2,3.1436822209,11041.666667
57,Tak,3,479 000,BLOK,wtórny,Mokotów,11,0.5043869859,8403.5087719
47,Nie,2,365 000,BLOK,wtórny,Praga_Południe,0,5.1909911991,7765.9574468
64,Nie,3,580 000,BLOK,wtórny,Żoliborz,4,3.874157217,9062.5
96,Tak,3,950 000,APARTAMENTOWIEC,wtórny,Mokotów,7,5.3954645343,9895.8333333
37,Nie,2,355 000,BLOK,wtórny,Wola,2,4.4871645805,9594.5945946
61,Unknown,2,523 200,BLOK,wtórny,Wesoła,1,16.475629753,8577.0491803
75,Unknown,3,749 900,APARTAMENTOWIEC,wtórny,Mokotów,3,3.8898860331,9998.6666667
40,Tak,2,479 000,APARTAMENTOWIEC,wtórny,Praga_Południe,2,3.8026516158,11975
39,Nie,2,356 000,APARTAMENTOWIEC,pierwotny,Ursus,2,7.7065215142,9128.2051282
71,Tak,3,899 000,APARTAMENTOWIEC,wtórny,Wilanów,2,10.058884068,12661.971831
29,Unknown,2,266 110,APARTAMENTOWIEC,pierwotny,Wilanów,0,10.274920929,9176.2068966
36,Nie,2,399 000,APARTAMENTOWIEC,pierwotny,Wola,1,4.2047600817,11083.333333
59,Nie,3,599 000,APARTAMENTOWIEC,pierwotny,Wola,2,4.2138466853,10152.542373
50,Tak,2,370 000,BLOK,wtórny,Białołęka,5,13.294854624,7400
52,Nie,3,519 000,APARTAMENTOWIEC,pierwotny,Wola,2,4.2479443155,9980.7692308
61,Unknown,3,550 000,BLOK,wtórny,Ursynów,3,8.6942390649,9016.3934426
86,Tak,4,1 099 000,APARTAMENTOWIEC,wtórny,Wilanów,3,10.08561454,12779.069767
42,Nie,2,270 000,BLOK,wtórny,Białołęka,0,14.687727708,6428.5714286
62,Tak,3,439 000,BLOK,pierwotny,Bemowo,8,7.0057803333,7080.6451613
80,Tak,4,699 000,BLOK,wtórny,Wola,1,5.3644672112,8737.5
54,Tak,3,565 000,BLOK,wtórny,Mokotów,4,0.5043869859,10462.962963
83,Unknown,3,970 000,OTHER,wtórny,Ochota,1,2.441183876,11686.746988
66,Tak,3,942 000,BLOK,wtórny,Wola,3,2.7563628367,14272.727273
62,Tak,3,485 000,BLOK,wtórny,Białołęka,2,10.617022305,7822.5806452
45,Unknown,2,496 748,APARTAMENTOWIEC,pierwotny,Mokotów,4,5.0751708773,11038.844444
230,Tak,5,2 290 000,APARTAMENTOWIEC,pierwotny,Mokotów,6,0.5043869859,9956.5217391
102,Tak,3,950 000,OTHER,wtórny,Wilanów,0,9.4152047807,9313.7254902
94,Unknown,3,1 035 000,KAMIENICA,wtórny,Mokotów,4,2.8028195064,11010.638298
47,Tak,2,865 000,APARTAMENTOWIEC,wtórny,Śródmieście,3,2.4793730253,18404.255319
63,Nie,3,598 500,KAMIENICA,wtórny,Wola,2,3.1470646583,9500
36,Unknown,2,419 000,BLOK,wtórny,Mokotów,7,6.1472733671,11638.888889
50,Tak,2,425 000,BLOK,wtórny,Wola,2,3.2469226926,8500
56,Tak,2,499 000,BLOK,wtórny,Ursynów,5,9.5977009218,8910.7142857
82,Unknown,4,800 000,BLOK,wtórny,Wola,8,3.5374961168,9756.097561
137,Unknown,5,869 000,BLOK,wtórny,Ochota,0,6.9905746744,6343.0656934
73,Tak,3,584 000,BLOK,wtórny,Wawer,2,12.561072918,8000
38,Unknown,2,398 320,APARTAMENTOWIEC,pierwotny,Wilanów,2,10.274920929,10482.105263
70,Tak,3,799 000,BLOK,wtórny,Ursus,1,7.9922193698,11414.285714
470,Tak,10,3 700 000,BLOK,pierwotny,Praga_Południe,2,6.8621100177,7872.3404255
92,Unknown,4,1 370 000,APARTAMENTOWIEC,wtórny,Żoliborz,6,4.3652227993,14891.304348
41,Nie,2,399 000,BLOK,wtórny,Mokotów,0,5.6551683583,9731.7073171
39,Nie,2,479 000,BLOK,wtórny,Śródmieście,10,0.7677251787,12282.051282
52,Tak,2,450 000,BLOK,wtórny,Praga_Północ,0,6.1868621092,8653.8461538
89,Tak,4,865 000,APARTAMENTOWIEC,wtórny,Wola,2,4.5368688922,9719.1011236
61,Nie,3,460 000,BLOK,wtórny,Bemowo,5,6.7156888705,7540.9836066
72,Tak,3,780 000,APARTAMENTOWIEC,wtórny,Bemowo,3,7.0944844779,10833.333333
142,Unknown,5,870 000,OTHER,wtórny,Bielany,11,7.0769695328,6126.7605634
57,Nie,3,576 900,BLOK,pierwotny,Mokotów,3,6.0119263744,10121.052632
96,Tak,4,790 000,BLOK,wtórny,Bielany,2,8.5187938579,8229.1666667
64,Tak,3,543 000,BLOK,wtórny,Praga_Południe,3,6.5780816902,8484.375
97,Nie,4,990 000,APARTAMENTOWIEC,wtórny,Wilanów,1,9.0900590663,10206.185567
50,Tak,2,750 000,APARTAMENTOWIEC,wtórny,Wilanów,3,9.2756983001,15000
54,Tak,2,495 000,APARTAMENTOWIEC,wtórny,Ursus,3,8.5924490065,9166.6666667
27,Tak,2,405 000,BLOK,wtórny,Śródmieście,2,1.0203187983,15000
91,Nie,4,1 080 000,KAMIENICA,wtórny,Śródmieście,3,0.4479936993,11868.131868
48,Tak,2,609 000,BLOK,wtórny,Praga_Południe,7,6.1622981498,12687.5
49,Tak,2,500 000,BLOK,wtórny,Bemowo,,6.627110232,10204.081633
116,Nie,4,1 699 000,APARTAMENTOWIEC,pierwotny,Śródmieście,10,3.2367749807,14646.551724
49,Tak,2,579 000,BLOK,wtórny,Mokotów,0,4.1950395631,11816.326531
61,Unknown,3,823 000,OTHER,wtórny,Wola,3,0.1466674492,13491.803279
39,Tak,2,468 000,BLOK,wtórny,Wola,1,2.3969638825,12000
101,Nie,4,1 299 000,APARTAMENTOWIEC,pierwotny,Śródmieście,10,3.2554976864,12861.386139
68,Tak,4,535 000,BLOK,wtórny,Bemowo,2,7.0871314881,7867.6470588
45,Nie,3,445 000,BLOK,wtórny,Mokotów,4,3.8898860331,9888.8888889
30,Tak,2,600 000,KAMIENICA,wtórny,Śródmieście,1,1.8952039896,20000
62,Tak,3,859 000,APARTAMENTOWIEC,wtórny,Mokotów,7,6.3767083744,13854.83871
25,Tak,1,285 000,BLOK,wtórny,Praga_Północ,6,3.8765616473,11400
44,Tak,2,615 000,APARTAMENTOWIEC,pierwotny,Praga_Północ,3,4.150866558,13977.272727
74,Tak,4,675 000,BLOK,wtórny,Ursynów,3,8.8841228084,9121.6216216
48,Tak,2,528 000,KAMIENICA,wtórny,Ochota,2,2.6659859985,11000
32,Nie,2,379 999,BLOK,pierwotny,Wola,3,4.6131320052,11874.96875
114,Unknown,4,689 000,BLOK,wtórny,Praga_Południe,2,6.9326842344,6043.8596491
55,Nie,3,383 000,BLOK,wtórny,Białołęka,3,9.7721519953,6963.6363636
42,Unknown,3,540 000,OTHER,wtórny,Mokotów,1,3.8898860331,12857.142857
56,Unknown,3,639 000,KAMIENICA,wtórny,Śródmieście,0,2.2781061177,11410.714286
68,Nie,3,688 000,APARTAMENTOWIEC,pierwotny,Wola,4,3.0441181225,10117.647059
64,Tak,3,625 000,BLOK,wtórny,Żoliborz,4,4.3652227993,9765.625
59,Tak,2,739 000,BLOK,wtórny,Mokotów,3,7.3146626636,12525.423729
37,Nie,2,269 900,BLOK,wtórny,Wawer,3,10.153457889,7294.5945946
70,Tak,3,770 000,APARTAMENTOWIEC,wtórny,Bemowo,1,6.4101375065,11000
44,Nie,3,439 000,BLOK,pierwotny,Wola,11,3.3680586211,9977.2727273
40,Tak,2,439 000,KAMIENICA,wtórny,Ochota,1,3.1677585891,10975
53,Tak,3,460 000,BLOK,wtórny,Białołęka,2,9.5794728944,8679.245283
46,Unknown,2,440 000,BLOK,wtórny,Wola,3,2.2144569194,9565.2173913
83,Tak,3,889 000,BLOK,wtórny,Mokotów,4,7.2512847129,10710.843373
80,Unknown,4,699 000,BLOK,wtórny,Białołęka,1,12.056326944,8737.5
37,Tak,2,390 000,OTHER,wtórny,Bielany,3,0.5043869859,10540.540541
42,Nie,2,399 000,APARTAMENTOWIEC,pierwotny,Ursus,1,7.7049231859,9500
50,Tak,3,735 000,BLOK,wtórny,Śródmieście,2,1.7311956816,14700
40,Tak,2,688 095,APARTAMENTOWIEC,wtórny,Bielany,0,6.478377977,17202.375
33,Unknown,2,385 480,APARTAMENTOWIEC,pierwotny,Mokotów,6,6.1014694406,11681.212121
83,Tak,3,920 000,KAMIENICA,wtórny,Mokotów,2,3.0341459558,11084.337349
35,Tak,1,570 000,KAMIENICA,wtórny,Śródmieście,1,1.6939053089,16285.714286
92,Tak,3,1 450 000,APARTAMENTOWIEC,wtórny,Śródmieście,3,3.2594600843,15760.869565
62,Nie,3,512 000,BLOK,wtórny,Ursynów,4,10.783192061,8258.0645161
85,Unknown,4,660 000,BLOK,wtórny,Ursynów,4,7.8696194011,7764.7058824
64,Unknown,3,498 000,BLOK,wtórny,Ursynów,1,8.2379909383,7781.25
49,Tak,4,529 000,BLOK,wtórny,Praga_Południe,5,4.5275801516,10795.918367
45,Unknown,2,690 000,APARTAMENTOWIEC,pierwotny,Praga_Północ,5,2.8680316932,15333.333333
65,Nie,3,699 000,APARTAMENTOWIEC,pierwotny,Żoliborz,1,3.9446612161,10753.846154
60,Unknown,3,480 000,BLOK,wtórny,Ursynów,3,10.627120555,8000
54,Tak,3,690 000,BLOK,wtórny,Mokotów,6,3.2948407815,12777.777778
50,Unknown,2,390 000,KAMIENICA,wtórny,Praga_Południe,2,5.6874032079,7800
62,Tak,3,520 000,BLOK,wtórny,Bemowo,2,7.2486022137,8387.0967742
23,Tak,1,299 000,BLOK,wtórny,Wola,8,4.747286489,13000
86,Tak,3,990 000,APARTAMENTOWIEC,wtórny,Mokotów,0,4.8133121884,11511.627907
185,Unknown,5,1 800 000,BLOK,wtórny,Mokotów,1,6.5648202367,9729.7297297
100,Unknown,4,1 310 000,KAMIENICA,wtórny,Bielany,2,8.5187938579,13100
53,Tak,2,414 000,BLOK,wtórny,Białołęka,0,10.139311248,7811.3207547
45,Tak,3,495 000,BLOK,wtórny,Mokotów,1,3.9386535093,11000
37,Unknown,2,480 000,BLOK,wtórny,Śródmieście,0,0.26494575,12972.972973
85,Tak,4,1 400 000,KAMIENICA,wtórny,Żoliborz,2,4.3652227993,16470.588235
53,Tak,2,795 000,KAMIENICA,wtórny,Ochota,2,2.1438780458,15000
50,Tak,2,645 000,APARTAMENTOWIEC,wtórny,Wola,5,3.2090392067,12900
57,Unknown,3,425 000,BLOK,wtórny,Bielany,0,6.8970412929,7456.1403509
105,Tak,4,699 000,KAMIENICA,wtórny,Targówek,1,8.0322494058,6657.1428571
49,Unknown,2,612 000,APARTAMENTOWIEC,pierwotny,Wola,5,2.404382769,12489.795918
113,Tak,3,6 000 000,APARTAMENTOWIEC,wtórny,Śródmieście,11,0.1749437384,53097.345133
29,Tak,1,429 000,BLOK,wtórny,Wilanów,3,9.5313853516,14793.103448
62,Tak,3,537 000,BLOK,wtórny,Bemowo,0,6.3638056209,8661.2903226
60,Nie,2,720 120,APARTAMENTOWIEC,pierwotny,Praga_Południe,2,4.0344092995,12002
50,Nie,2,685 000,APARTAMENTOWIEC,pierwotny,Praga_Południe,3,4.0344092995,13700
73,Unknown,2,1 490 000,APARTAMENTOWIEC,wtórny,Śródmieście,2,1.3175411215,20410.958904
61,Unknown,3,445 000,BLOK,wtórny,Bemowo,8,17.15500591,7295.0819672
57,Tak,3,550 000,BLOK,wtórny,Praga_Południe,1,6.8621100177,9649.122807
31,Tak,2,399 000,BLOK,wtórny,Mokotów,1,6.9163429675,12870.967742
56,Tak,3,719 360,APARTAMENTOWIEC,wtórny,Mokotów,3,6.3323042836,12845.714286
73,Unknown,2,1 190 000,KAMIENICA,wtórny,Śródmieście,4,0.6288824769,16301.369863
37,Tak,2,437 007,BLOK,wtórny,Wola,4,3.2090392067,11811
88,Unknown,4,990 000,KAMIENICA,wtórny,Mokotów,4,5.0150100077,11250
65,Unknown,3,555 000,BLOK,wtórny,Bielany,8,7.785436959,8538.4615385
80,Tak,3,850 000,BLOK,wtórny,Wola,0,5.208525432,10625
55,Tak,3,533 000,BLOK,wtórny,Bielany,9,6.0937796265,9690.9090909
49,Tak,2,490 000,BLOK,wtórny,Praga_Północ,1,3.8199525099,10000
117,Tak,3,1 080 000,APARTAMENTOWIEC,wtórny,Śródmieście,4,2.9064563195,9230.7692308
86,Nie,4,904 867,APARTAMENTOWIEC,pierwotny,Praga_Południe,5,5.3080993287,10521.713953
62,Nie,3,533 000,BLOK,wtórny,Mokotów,7,6.2951496558,8596.7741935
61,Tak,3,670 000,BLOK,wtórny,Praga_Południe,2,5.9375997976,10983.606557
56,Tak,2,540 000,BLOK,wtórny,Bielany,3,9.6329871179,9642.8571429
51,Tak,3,458 000,BLOK,wtórny,Wola,1,3.9877799106,8980.3921569
49,Tak,2,570 000,APARTAMENTOWIEC,wtórny,Ursynów,4,7.7514294938,11632.653061
44,Unknown,2,310 000,BLOK,wtórny,Białołęka,0,13.214286883,7045.4545455
24,Unknown,1,315 000,OTHER,wtórny,Ochota,1,3.227464082,13125
104,Tak,4,960 000,APARTAMENTOWIEC,wtórny,Mokotów,0,4.8133121884,9230.7692308
37,Tak,1,330 000,BLOK,wtórny,Praga_Południe,6,6.012205089,8918.9189189
38,Tak,2,370 000,BLOK,wtórny,Białołęka,1,10.224813116,9736.8421053
82,Unknown,4,770 000,APARTAMENTOWIEC,wtórny,Wola,5,3.4916781705,9390.2439024
57,Tak,2,670 000,BLOK,wtórny,Praga_Południe,3,7.8433024682,11754.385965
65,Unknown,3,510 000,OTHER,wtórny,Włochy,1,7.430944639,7846.1538462
42,Tak,2,427 000,BLOK,wtórny,Wilanów,0,9.7835410975,10166.666667
60,Nie,3,487 000,BLOK,wtórny,Praga_Południe,4,6.0262422278,8116.6666667
34,Nie,2,390 000,KAMIENICA,wtórny,Śródmieście,0,1.8681183127,11470.588235
49,Tak,3,570 000,OTHER,wtórny,Śródmieście,8,2.3955811338,11632.653061
34,Nie,2,365 000,BLOK,wtórny,Ochota,3,3.5416362203,10735.294118
72,Unknown,3,730 000,OTHER,wtórny,Ursynów,5,11.198918056,10138.888889
46,Tak,4,570 000,KAMIENICA,wtórny,Wola,1,1.9623302805,12391.304348
27,Tak,1,459 000,APARTAMENTOWIEC,wtórny,Ochota,7,3.0156892773,17000
52,Nie,2,749 000,KAMIENICA,wtórny,Śródmieście,5,0.8344299137,14403.846154
55,Tak,3,750 000,KAMIENICA,wtórny,Wola,4,1.7833094287,13636.363636
60,Unknown,3,570 000,APARTAMENTOWIEC,wtórny,Praga_Południe,6,5.3397675707,9500
35,Unknown,2,395 000,BLOK,wtórny,Ursynów,6,10.652758483,11285.714286
54,Tak,2,460 000,BLOK,wtórny,Białołęka,1,9.3158106689,8518.5185185
63,Tak,3,595 000,BLOK,wtórny,Bemowo,3,7.5301417532,9444.4444444
54,Nie,3,370 000,OTHER,wtórny,Ursus,2,9.1936183643,6851.8518519
46,Tak,3,599 000,BLOK,wtórny,Śródmieście,2,2.2836430464,13021.73913
116,Tak,4,900 000,BLOK,wtórny,Bielany,1,5.93078006,7758.6206897
98,Tak,4,890 000,APARTAMENTOWIEC,wtórny,Wawer,3,12.561072918,9081.6326531
42,Tak,2,580 000,OTHER,wtórny,Mokotów,1,6.6432796877,13809.52381
65,Tak,3,530 000,BLOK,wtórny,Bielany,3,8.5187938579,8153.8461538
57,Unknown,3,600 000,BLOK,wtórny,Praga_Południe,0,6.5218122503,10526.315789
61,Nie,3,684 000,BLOK,pierwotny,Bielany,4,8.2637486774,11213.114754
48,Unknown,2,405 000,BLOK,wtórny,Praga_Południe,4,5.5198397389,8437.5
55,Nie,3,399 000,BLOK,pierwotny,Białołęka,2,12.526851574,7254.5454545
83,Nie,4,630 000,BLOK,wtórny,Bemowo,7,6.0072297204,7590.3614458
77,Tak,3,852 390,APARTAMENTOWIEC,wtórny,Mokotów,2,4.7386853808,11070
153,Nie,5,1 383 000,APARTAMENTOWIEC,wtórny,Wilanów,0,9.4270809372,9039.2156863
62,Nie,3,439 000,BLOK,wtórny,Targówek,11,6.9629794175,7080.6451613
37,Tak,2,415 000,BLOK,wtórny,Mokotów,6,4.3800972294,11216.216216
31,Tak,1,355 000,BLOK,wtórny,Bemowo,3,5.8113089864,11451.612903
63,Tak,3,439 000,BLOK,wtórny,Białołęka,3,11.721566452,6968.2539683
112,Tak,4,2 100 000,APARTAMENTOWIEC,wtórny,Mokotów,7,4.6998357357,18750
57,Tak,3,479 000,BLOK,wtórny,Targówek,1,4.9076640966,8403.5087719
58,Tak,3,450 000,BLOK,wtórny,Białołęka,1,10.139311248,7758.6206897
37,Unknown,2,365 000,BLOK,wtórny,Targówek,8,7.4404736926,9864.8648649
38,Tak,2,515 000,BLOK,wtórny,Wola,11,0.9470906163,13552.631579
97,Unknown,4,2 100 000,APARTAMENTOWIEC,wtórny,Śródmieście,1,1.3920770833,21649.484536
52,Tak,2,730 000,APARTAMENTOWIEC,wtórny,Ursynów,4,8.6170065435,14038.461538
136,Unknown,5,599 000,OTHER,pierwotny,Wawer,1,14.531393164,4404.4117647
77,Unknown,3,439 000,OTHER,pierwotny,Wawer,0,14.429863035,5701.2987013
65,Unknown,3,699 000,OTHER,wtórny,Żoliborz,1,3.7313925538,10753.846154
35,Tak,1,365 000,KAMIENICA,wtórny,Praga_Południe,0,5.30129191,10428.571429
75,Tak,3,1 175 000,BLOK,wtórny,Śródmieście,4,0.1668320446,15666.666667
74,Tak,3,935 000,APARTAMENTOWIEC,wtórny,Wilanów,2,9.4270809372,12635.135135
37,Tak,2,439 700,BLOK,wtórny,Wola,2,1.9952625932,11883.783784
51,Tak,2,499 000,BLOK,wtórny,Żoliborz,1,3.9559213271,9784.3137255
84,Tak,3,772 000,APARTAMENTOWIEC,wtórny,Ochota,8,1.9502829286,9190.4761905
87,Nie,3,939 000,BLOK,pierwotny,Bielany,8,8.2637486774,10793.103448
44,Nie,2,348 000,APARTAMENTOWIEC,pierwotny,Ursus,1,8.9980627798,7909.0909091
41,Nie,2,335 000,APARTAMENTOWIEC,pierwotny,Ursus,2,8.9980627798,8170.7317073
89,Unknown,4,769 000,OTHER,wtórny,Praga_Południe,1,5.5588817133,8640.4494382
38,Unknown,2,359 000,BLOK,wtórny,Targówek,6,7.8284079014,9447.3684211
59,Nie,3,516 796,APARTAMENTOWIEC,pierwotny,Wilanów,1,11.398479374,8759.2542373
53,Tak,2,477 000,BLOK,wtórny,Ursynów,1,8.9092390367,9000
33,Unknown,2,399 000,BLOK,wtórny,Bemowo,1,7.656148693,12090.909091
49,Tak,2,460 000,APARTAMENTOWIEC,wtórny,Praga_Południe,1,8.402868361,9387.755102
86,Nie,3,995 000,KAMIENICA,wtórny,Ochota,3,2.2292116862,11569.767442
42,Tak,2,549 000,BLOK,wtórny,Praga_Południe,3,5.3713521366,13071.428571
102,Tak,4,1 449 000,BLOK,wtórny,Mokotów,2,6.3907369517,14205.882353
161,Nie,5,1 317 367,APARTAMENTOWIEC,pierwotny,Bemowo,0,8.4518964333,8182.4037267
44,Nie,2,396 916,APARTAMENTOWIEC,pierwotny,Wilanów,1,11.398479374,9020.8181818
86,Nie,4,717 701,APARTAMENTOWIEC,pierwotny,Wilanów,0,11.398479374,8345.3604651
56,Unknown,3,479 000,BLOK,wtórny,Mokotów,11,6.9278622468,8553.5714286
36,Unknown,2,289 000,OTHER,wtórny,Praga_Południe,0,6.361679174,8027.7777778
59,Nie,3,496 742,APARTAMENTOWIEC,pierwotny,Praga_Południe,1,5.6806751345,8419.3559322
64,Tak,3,990 000,KAMIENICA,wtórny,Śródmieście,5,1.9277678879,15468.75
48,Unknown,2,516 810,BLOK,wtórny,Ochota,1,4.1638556993,10766.875
89,Unknown,4,1 090 000,APARTAMENTOWIEC,wtórny,Praga_Południe,1,3.1776147741,12247.191011
40,Unknown,2,449 000,KAMIENICA,wtórny,Ochota,1,3.4736978588,11225
24,Unknown,1,298 000,OTHER,wtórny,Śródmieście,7,1.789878543,12416.666667
50,Unknown,2,636 000,OTHER,pierwotny,Wola,7,2.0568692493,12720
125,Tak,5,863 121,BLOK,wtórny,Włochy,0,5.855922976,6904.968
54,Tak,2,595 000,BLOK,wtórny,Bielany,6,6.5924931495,11018.518519
60,Unknown,3,714 000,APARTAMENTOWIEC,wtórny,Ochota,3,4.2965667795,11900
74,Unknown,3,819 000,APARTAMENTOWIEC,wtórny,Mokotów,4,6.3189691537,11067.567568
48,Nie,3,440 000,BLOK,wtórny,Wola,3,4.2624871911,9166.6666667
51,Tak,2,567 000,APARTAMENTOWIEC,wtórny,Mokotów,4,4.1734449637,11117.647059
57,Unknown,2,570 000,OTHER,wtórny,Bielany,4,8.5189298798,10000
54,Unknown,2,460 000,BLOK,wtórny,Białołęka,1,10.755901293,8518.5185185
50,Unknown,2,569 000,BLOK,wtórny,Wola,2,3.2087809839,11380
68,Unknown,3,644 000,BLOK,wtórny,Mokotów,2,6.3281478603,9470.5882353
62,Tak,2,753 166,APARTAMENTOWIEC,wtórny,Mokotów,10,4.9676368162,12147.83871
108,Tak,3,1 495 000,BLOK,wtórny,Wilanów,2,9.3546686154,13842.592593
52,Nie,3,397 000,BLOK,wtórny,Targówek,4,6.1203057928,7634.6153846
