size_sqmeters,decorated,no_rooms,price,type_of_building,market,district,floor_no,line_distance,price_per_sqmet
75,Tak,4,560 000,APARTAMENTOWIEC,wtórny,Białołęka,0,10.756136141,7466.6666667
62,Nie,3,503 802,BLOK,pierwotny,Włochy,1,8.2050796866,8125.8419355
58,Nie,2,459 696,BLOK,pierwotny,Włochy,3,8.2050796866,7925.7931034
105,Nie,6,720 428,BLOK,pierwotny,Włochy,4,8.2050796866,6861.2228571
62,Nie,3,520 742,BLOK,pierwotny,Włochy,0,8.2050796866,8399.0645161
62,Nie,3,503 802,BLOK,pierwotny,Włochy,1,8.2050796866,8125.8419355
58,Nie,2,464 381,BLOK,pierwotny,Włochy,3,8.2050796866,8006.5655172
105,Nie,6,720 428,BLOK,pierwotny,Włochy,4,8.2050796866,6861.2228571
102,Nie,4,599 900,APARTAMENTOWIEC,pierwotny,Wawer,1,10.261134065,5881.372549
86,Tak,3,773 900,APARTAMENTOWIEC,wtórny,Ursus,7,8.676864489,8998.8372093
29,Nie,1,387 000,APARTAMENTOWIEC,pierwotny,Praga_Północ,5,2.860500104,13344.827586
18,Unknown,1,199 000,APARTAMENTOWIEC,pierwotny,Wola,,3.3460295913,11055.555556
34,Nie,1,231 150,APARTAMENTOWIEC,wtórny,Białołęka,0,12.542655085,6798.5294118
80,Tak,4,1 090 000,APARTAMENTOWIEC,wtórny,Mokotów,6,6.171074143,13625
75,Unknown,3,860 000,APARTAMENTOWIEC,wtórny,Mokotów,1,7.1718791103,11466.666667
72,Nie,3,799 000,OTHER,wtórny,Śródmieście,1,1.2519715116,11097.222222
85,Tak,3,1 529 000,APARTAMENTOWIEC,wtórny,Mokotów,1,3.4068605595,17988.235294
66,Tak,3,599 000,APARTAMENTOWIEC,wtórny,Praga_Południe,1,4.5616841553,9075.7575758
78,Nie,3,550 400,OTHER,pierwotny,Wawer,1,9.2857582487,7056.4102564
59,Nie,3,470 000,BLOK,wtórny,Ursynów,1,9.6063818769,7966.1016949
90,Nie,4,585 845,OTHER,pierwotny,Wawer,1,9.2857582487,6509.3888889
27,Unknown,1,189 700,BLOK,pierwotny,Białołęka,1,10.214630019,7025.9259259
59,Tak,3,590 000,BLOK,pierwotny,Wola,5,3.1470646583,10000
57,Tak,2,569 000,BLOK,wtórny,Targówek,0,5.3483196721,9982.4561404
33,Nie,2,450 000,APARTAMENTOWIEC,wtórny,Praga_Północ,3,3.8599487428,13636.363636
88,Unknown,3,750 000,APARTAMENTOWIEC,wtórny,Mokotów,11,5.7775830915,8522.7272727
36,Tak,2,590 000,BLOK,wtórny,Śródmieście,5,0.5043869859,16388.888889
54,Unknown,3,699 000,BLOK,wtórny,Wola,4,0.4390153197,12944.444444
19,Unknown,1,204 000,APARTAMENTOWIEC,pierwotny,Wola,7,3.3592084269,10736.842105
70,Nie,4,388 000,OTHER,pierwotny,Białołęka,1,12.542655085,5542.8571429
107,Tak,4,1 100 000,BLOK,wtórny,Wola,6,4.5368688922,10280.373832
53,Nie,3,374 000,OTHER,pierwotny,Białołęka,,9.6858246078,7056.6037736
124,Unknown,5,1 302 000,OTHER,pierwotny,Wola,,3.2090392067,10500
19,Unknown,1,206 000,APARTAMENTOWIEC,pierwotny,,,3.4032267529,10842.105263
55,Nie,2,518 010,BLOK,pierwotny,Bielany,1,7.2571205051,9418.3636364
43,Nie,2,417 197,BLOK,pierwotny,Bielany,2,7.268155509,9702.255814
47,Unknown,3,379 000,OTHER,wtórny,Praga_Północ,8,3.930701569,8063.8297872
38,Unknown,2,425 000,BLOK,wtórny,Mokotów,1,4.3043364372,11184.210526
34,Nie,1,222 300,OTHER,pierwotny,Białołęka,2,12.809013225,6538.2352941
49,Unknown,2,519 000,KAMIENICA,wtórny,Mokotów,2,3.5893957215,10591.836735
53,Tak,2,458 380,BLOK,wtórny,Praga_Południe,2,5.5588817133,8648.6792453
80,Tak,4,550 000,BLOK,wtórny,Rembertów,3,12.267593475,6875
51,Nie,3,475 424,APARTAMENTOWIEC,pierwotny,Ochota,8,5.3254923016,9322.0392157
33,Nie,2,311 896,APARTAMENTOWIEC,pierwotny,Ochota,3,5.3254923016,9451.3939394
250,Tak,6,1 500 000,APARTAMENTOWIEC,wtórny,Targówek,4,7.2344746565,6000
147,Tak,4,1 499 000,APARTAMENTOWIEC,wtórny,Wola,11,0.915711773,10197.278912
46,Tak,2,450 000,APARTAMENTOWIEC,wtórny,Ursus,4,8.0193757287,9782.6086957
47,Nie,2,441 099,BLOK,pierwotny,Bielany,1,7.2699542366,9385.0851064
56,Nie,2,532 095,BLOK,pierwotny,Bielany,2,7.2728159994,9501.6964286
53,Unknown,3,401 464,BLOK,pierwotny,Białołęka,2,11.103776323,7574.7924528
53,Unknown,3,443 268,BLOK,pierwotny,Białołęka,3,11.102107403,8363.5471698
60,Unknown,3,490 483,BLOK,pierwotny,Białołęka,3,11.107016397,8174.7166667
18,Unknown,1,212 505,APARTAMENTOWIEC,pierwotny,Wola,,3.3012024977,11805.833333
94,Tak,4,809 000,APARTAMENTOWIEC,wtórny,Targówek,4,7.2344746565,8606.3829787
43,Unknown,2,448 000,BLOK,wtórny,Wola,1,4.5388464792,10418.604651
90,Tak,4,990 000,KAMIENICA,wtórny,Śródmieście,3,1.0203187983,11000
31,Nie,2,299 000,APARTAMENTOWIEC,pierwotny,Wola,11,3.3592084269,9645.1612903
36,Nie,2,250 000,OTHER,pierwotny,Białołęka,0,10.105029434,6944.4444444
55,Nie,2,528 675,BLOK,pierwotny,Bielany,2,7.2659673306,9612.2727273
42,Nie,2,415 257,BLOK,pierwotny,Bielany,2,7.2615582708,9887.0714286
43,Nie,2,410 115,BLOK,pierwotny,Bielany,1,7.2659965453,9537.5581395
56,Nie,2,515 752,BLOK,pierwotny,Bielany,1,7.273715618,9209.8571429
183,Nie,6,1 838 100,BLOK,pierwotny,Wola,9,3.1470646583,10044.262295
54,Tak,2,495 000,BLOK,wtórny,Praga_Południe,1,5.9496304546,9166.6666667
43,Nie,2,327 000,APARTAMENTOWIEC,pierwotny,Białołęka,2,9.1000830973,7604.6511628
146,Tak,4,2 650 000,APARTAMENTOWIEC,wtórny,Praga_Północ,5,3.6864404397,18150.684932
84,Tak,4,762 000,BLOK,wtórny,Ochota,2,3.0156892773,9071.4285714
184,Unknown,6,1 838 000,APARTAMENTOWIEC,pierwotny,Wola,9,3.3008631713,9989.1304348
28,Nie,2,229 000,APARTAMENTOWIEC,pierwotny,Białołęka,,12.070458671,8178.5714286
69,Tak,4,739 999,APARTAMENTOWIEC,wtórny,Mokotów,1,7.5314511533,10724.623188
77,Nie,4,619 000,BLOK,pierwotny,Bemowo,1,7.304466198,8038.961039
150,Tak,5,899 000,BLOK,wtórny,Bemowo,3,6.3973427942,5993.3333333
98,Nie,4,558 000,OTHER,pierwotny,Białołęka,0,9.7074516945,5693.877551
183,Unknown,6,1 838 000,OTHER,pierwotny,Wola,,3.2090392067,10043.715847
184,Unknown,6,1 838 100,APARTAMENTOWIEC,pierwotny,Wola,9,3.5897329488,9989.673913
28,Unknown,1,315 000,BLOK,pierwotny,Wola,1,3.3478712079,11250
76,Unknown,4,644 000,APARTAMENTOWIEC,wtórny,Praga_Południe,1,5.5588817133,8473.6842105
70,Tak,3,1 450 000,KAMIENICA,wtórny,Śródmieście,1,0.9549155053,20714.285714
58,Tak,2,470 000,BLOK,wtórny,Ursus,0,8.2191303588,8103.4482759
80,Tak,3,890 000,APARTAMENTOWIEC,wtórny,Mokotów,4,6.2619159179,11125
65,Unknown,3,620 000,BLOK,pierwotny,Wola,10,3.3345682934,9538.4615385
20,Unknown,1,217 300,OTHER,pierwotny,Wola,,3.2090392067,10865
76,Tak,3,710 000,APARTAMENTOWIEC,wtórny,Wola,2,3.1092818625,9342.1052632
133,Unknown,1,1 621 951,APARTAMENTOWIEC,pierwotny,Wola,0,3.292676554,12195.120301
55,Tak,2,789 000,APARTAMENTOWIEC,wtórny,Wilanów,3,9.4531944226,14345.454545
130,Tak,4,1 490 000,APARTAMENTOWIEC,wtórny,Bemowo,0,5.3224440547,11461.538462
14,Tak,1,199 000,OTHER,wtórny,Wola,1,4.3353608251,14214.285714
99,Tak,3,969 000,APARTAMENTOWIEC,wtórny,Wilanów,3,9.8671324481,9787.8787879
143,Nie,4,1 220 000,OTHER,pierwotny,Bielany,1,8.4792735336,8531.4685315
88,Tak,3,799 000,APARTAMENTOWIEC,wtórny,Bemowo,3,7.830529579,9079.5454545
29,Tak,1,310 000,APARTAMENTOWIEC,wtórny,Praga_Północ,7,3.7637111538,10689.655172
50,Nie,2,499 000,BLOK,wtórny,Mokotów,4,2.7900291266,9980
61,Nie,3,549 630,OTHER,pierwotny,Praga_Północ,0,3.8199525099,9010.3278689
26,Nie,1,316 200,OTHER,pierwotny,Praga_Północ,3,3.8199525099,12161.538462
74,Nie,4,656 296,BLOK,pierwotny,Praga_Południe,3,7.0379873902,8868.8675676
62,Nie,3,544 041,BLOK,pierwotny,Praga_Południe,1,7.0383763878,8774.8516129
73,Tak,3,575 000,BLOK,wtórny,Bielany,0,8.120732589,7876.7123288
131,Tak,4,560 000,BLOK,wtórny,Białołęka,3,10.57165173,4274.8091603
60,Tak,2,670 000,APARTAMENTOWIEC,wtórny,Wilanów,2,9.5302940303,11166.666667
54,Nie,2,500 232,BLOK,pierwotny,Praga_Południe,1,7.0414766267,9263.5592593
52,Unknown,3,368 000,BLOK,pierwotny,Białołęka,1,12.967113223,7076.9230769
80,Tak,4,750 000,APARTAMENTOWIEC,wtórny,Białołęka,3,10.609131825,9375
53,Tak,2,634 000,APARTAMENTOWIEC,wtórny,Mokotów,4,7.2080511106,11962.264151
106,Tak,4,1 149 000,KAMIENICA,wtórny,Śródmieście,3,3.3885800039,10839.622642
68,Tak,3,477 000,BLOK,wtórny,Białołęka,0,10.583649833,7014.7058824
62,Unknown,3,510 000,KAMIENICA,wtórny,Wola,6,0.7907783336,8225.8064516
72,Unknown,3,750 000,OTHER,wtórny,Praga_Południe,7,4.434383162,10416.666667
61,Unknown,3,800 000,KAMIENICA,wtórny,Śródmieście,6,0.5163832006,13114.754098
44,Nie,2,484 000,APARTAMENTOWIEC,pierwotny,Wola,1,4.0553916761,11000
72,Tak,3,1 430 000,KAMIENICA,wtórny,Śródmieście,1,1.0382284298,19861.111111
31,Unknown,1,327 000,OTHER,wtórny,Praga_Północ,3,3.7788149075,10548.387097
39,Unknown,2,409 000,OTHER,wtórny,Praga_Północ,2,3.7788149075,10487.179487
70,Tak,3,685 000,APARTAMENTOWIEC,wtórny,Ochota,1,4.7281163823,9785.7142857
57,Unknown,3,382 000,BLOK,pierwotny,Białołęka,1,10.932778594,6701.754386
61,Unknown,3,420 000,BLOK,pierwotny,Białołęka,1,10.932778594,6885.2459016
100,Unknown,5,750 000,BLOK,pierwotny,Białołęka,2,10.932778594,7500
41,Unknown,2,301 000,BLOK,pierwotny,Białołęka,,10.756136141,7341.4634146
68,Tak,3,569 460,BLOK,wtórny,Białołęka,3,9.3043202569,8374.4117647
40,Unknown,2,280 000,OTHER,pierwotny,Białołęka,,10.755901293,7000
72,Nie,4,599 000,KAMIENICA,pierwotny,Wawer,1,10.144108948,8319.4444444
31,Unknown,2,247 000,OTHER,pierwotny,Białołęka,,10.755901293,7967.7419355
71,Tak,3,1 069 000,APARTAMENTOWIEC,wtórny,Mokotów,3,5.8152302011,15056.338028
90,Unknown,3,1 298 000,APARTAMENTOWIEC,wtórny,Mokotów,3,3.266695329,14422.222222
165,Tak,3,2 690 000,APARTAMENTOWIEC,wtórny,Mokotów,7,3.6888326579,16303.030303
99,Nie,5,1 040 000,APARTAMENTOWIEC,pierwotny,Wola,7,3.3548765777,10505.050505
73,Tak,4,625 000,BLOK,wtórny,Mokotów,2,7.5872760121,8561.6438356
75,Tak,3,965 000,APARTAMENTOWIEC,wtórny,Mokotów,5,3.1436822209,12866.666667
42,Tak,2,319 000,KAMIENICA,wtórny,Rembertów,0,11.768706859,7595.2380952
51,Nie,3,386 000,BLOK,pierwotny,,,11.034565523,7568.627451
83,Nie,4,1 600 000,KAMIENICA,pierwotny,Śródmieście,3,1.3203635608,19277.108434
52,Unknown,3,368 000,APARTAMENTOWIEC,pierwotny,Białołęka,1,10.970722325,7076.9230769
28,Nie,2,229 000,APARTAMENTOWIEC,pierwotny,Praga_Północ,4,12.430698896,8178.5714286
90,Nie,3,632 380,BLOK,pierwotny,Praga_Południe,3,6.9593077105,7026.4444444
37,Tak,2,440 000,BLOK,wtórny,Mokotów,3,4.1093409185,11891.891892
101,Tak,3,595 000,BLOK,wtórny,Białołęka,3,10.836749347,5891.0891089
87,Nie,2,621 534,BLOK,pierwotny,Praga_Południe,3,6.9593077105,7144.0689655
29,Nie,1,380 300,APARTAMENTOWIEC,pierwotny,Mokotów,1,4.8280116929,13113.793103
90,Tak,3,695 000,APARTAMENTOWIEC,wtórny,Praga_Południe,5,6.5278292122,7722.2222222
65,Unknown,3,645 000,OTHER,wtórny,Praga_Południe,4,4.6425040409,9923.0769231
143,Tak,5,2 200 000,BLOK,wtórny,Żoliborz,4,4.0012206278,15384.615385
26,Nie,1,316 200,APARTAMENTOWIEC,pierwotny,Praga_Północ,5,3.8199525099,12161.538462
74,Tak,4,930 000,BLOK,pierwotny,Bielany,4,8.8332804426,12567.567568
89,Nie,3,632 042,BLOK,pierwotny,Praga_Południe,3,6.9593077105,7101.5955056
92,Nie,4,978 000,BLOK,wtórny,Śródmieście,7,2.9064563195,10630.434783
110,Tak,4,1 050 000,APARTAMENTOWIEC,wtórny,Włochy,1,6.4981449274,9545.4545455
118,Nie,3,1 900 000,APARTAMENTOWIEC,wtórny,Żoliborz,7,4.0955204167,16101.694915
80,Tak,3,1 565 000,KAMIENICA,wtórny,Śródmieście,2,1.8076485977,19562.5
19,Unknown,1,204 000,APARTAMENTOWIEC,pierwotny,Wola,,3.3378275016,10736.842105
54,Unknown,2,375 000,OTHER,wtórny,Białołęka,1,10.139311248,6944.4444444
53,Unknown,2,419 000,BLOK,wtórny,Praga_Południe,4,6.6735701872,7905.6603774
75,Tak,3,950 000,APARTAMENTOWIEC,wtórny,Praga_Południe,6,4.7850569718,12666.666667
42,Tak,2,545 000,BLOK,wtórny,Praga_Południe,4,4.1112463015,12976.190476
59,Nie,3,449 700,BLOK,pierwotny,Praga_Południe,1,6.9593077105,7622.0338983
103,Nie,3,713 736,BLOK,pierwotny,Praga_Południe,3,6.9593077105,6929.4757282
37,Tak,2,639 000,KAMIENICA,wtórny,Śródmieście,2,1.3625144116,17270.27027
42,Tak,2,398 000,BLOK,wtórny,Włochy,2,7.49288579,9476.1904762
47,Tak,2,635 000,BLOK,wtórny,Mokotów,0,6.5757095948,13510.638298
35,Unknown,2,246 000,BLOK,pierwotny,Białołęka,1,9.5307304412,7028.5714286
